transect_no,site_no,site_name,year,date,distance,species1,cover1,species2,cover2,species3,cover3,species4,cover4
15,LTO13,PAO,2017,07/11/2017,17.5,Lobophytum ,7,NA,0,NA,0,NA,0
15,LTO13,PAO,2017,07/11/2017,20,NA,0,NA,0,NA,0,NA,0
15,LTO13,PAO,2017,07/11/2017,22.5,Favites,21,NA,0,NA,0,NA,0
15,LTO13,PAO,2017,07/11/2017,25,NA,0,NA,0,NA,0,NA,0
16,LTO10,DEVILS,2017,07/11/2017,0,NA,0,NA,0,NA,0,NA,0
16,LTO10,DEVILS,2017,07/11/2017,2.5,NA,0,NA,0,NA,0,NA,0
16,LTO10,DEVILS,2017,07/11/2017,5,NA,0,NA,0,NA,0,NA,0
16,LTO10,DEVILS,2017,07/11/2017,7.5,NA,0,NA,0,NA,0,NA,0
16,LTO10,DEVILS,2017,07/11/2017,10,NA,0,NA,0,NA,0,NA,0
16,LTO10,DEVILS,2017,07/11/2017,12.5,NA,0,NA,0,NA,0,NA,0
16,LTO10,DEVILS,2017,07/11/2017,15,NA,0,NA,0,NA,0,NA,0
16,LTO10,DEVILS,2017,07/11/2017,17.5,NA,0,NA,0,NA,0,NA,0
16,LTO10,DEVILS,2017,07/11/2017,20,Porites,5,NA,0,NA,0,NA,0
16,LTO10,DEVILS,2017,07/11/2017,22.5,Porites,4,NA,0,NA,0,NA,0
16,LTO10,DEVILS,2017,07/11/2017,25,NA,0,NA,0,NA,0,NA,0
17,LTO10,DEVILS,2017,07/12/2017,0,NA,0,NA,0,NA,0,NA,0
17,LTO10,DEVILS,2017,07/12/2017,2.5,NA,0,NA,0,NA,0,NA,0
17,LTO10,DEVILS,2017,07/12/2017,5,Lobophytum ,4,NA,0,NA,0,NA,0
17,LTO10,DEVILS,2017,07/12/2017,7.5,Lobophytum ,11,NA,0,NA,0,NA,0
17,LTO10,DEVILS,2017,07/12/2017,10,NA,0,NA,0,NA,0,NA,0
17,LTO10,DEVILS,2017,07/12/2017,12.5,Favia,1,NA,0,NA,0,NA,0
17,LTO10,DEVILS,2017,07/12/2017,15,Favites,30,NA,0,NA,0,NA,0
17,LTO10,DEVILS,2017,07/12/2017,17.5,NA,0,NA,0,NA,0,NA,0
17,LTO10,DEVILS,2017,07/12/2017,20,Lobophytum ,1,NA,0,NA,0,NA,0
17,LTO10,DEVILS,2017,07/12/2017,22.5,NA,0,NA,0,NA,0,NA,0
17,LTO10,DEVILS,2017,07/12/2017,25,NA,0,NA,0,NA,0,NA,0
18,LTO10,DEVILS,2017,7/13/2017,0,NA,0,NA,0,NA,0,NA,0
18,LTO10,DEVILS,2017,7/13/2017,2.5,NA,0,NA,0,NA,0,NA,0
18,LTO10,DEVILS,2017,7/13/2017,5,NA,0,NA,0,NA,0,NA,0
18,LTO10,DEVILS,2017,7/13/2017,7.5,Lobophytum ,34,NA,0,NA,0,NA,0
